movie_id,title,ranking_score
M0097,Movie 97,998.9743889086321
M0085,Movie 85,995.3071550482225
M0330,Movie 330,993.4826258907993
M0760,Movie 760,983.3406974436227
M0990,Movie 990,962.8495598583252
M0171,Movie 171,962.681583413779
M0614,Movie 614,962.3593847778242
M0787,Movie 787,955.3754815094869
M0816,Movie 816,953.9772163545392
M0586,Movie 586,944.7385590192749
M0572,Movie 572,933.3028877028065
M0072,Movie 72,921.9471695984638
M0970,Movie 970,915.6145325414441
M0126,Movie 126,912.3847963148369
M0647,Movie 647,891.1924872678125
M0934,Movie 934,889.5500103641746
M0190,Movie 190,887.3716601386263
M0484,Movie 484,884.5333584282879
M0630,Movie 630,883.5170388647609
M0854,Movie 854,882.6364536498444
M0952,Movie 952,880.6480941639286
M0197,Movie 197,875.8062473385513
M0073,Movie 73,875.235659553726
M0432,Movie 432,861.5624199930498
M0767,Movie 767,858.6920593809169
M0600,Movie 600,841.3288228115669
M0982,Movie 982,839.7014073572172
M0247,Movie 247,833.9471154286847
M0562,Movie 562,832.999098561771
M0950,Movie 950,827.1842001706028
M0886,Movie 886,826.2080070072843
M0280,Movie 280,825.6031185143075
M0649,Movie 649,812.6620220977037
M0903,Movie 903,811.8086116865353
M0168,Movie 168,808.5062522591858
M0738,Movie 738,806.5813018743069
M0796,Movie 796,801.3697978493766
M0866,Movie 866,777.1769312040943
M0602,Movie 602,773.2517998925634
M0227,Movie 227,765.3794896198729
M0234,Movie 234,755.4272685879198
M0773,Movie 773,750.4091542530209
M0867,Movie 867,749.8726534275158
M0513,Movie 513,749.1069308305975
M0686,Movie 686,740.079969347246
M0153,Movie 153,731.6383115922725
M0477,Movie 477,726.251093110882
M0577,Movie 577,720.8942133052916
M0353,Movie 353,717.4652201578771
M0009,Movie 9,709.8681692886869
