timestamp,heart_rate,hrv,skin_temp,eda,spo2,respiratory_rate,steps,movement_intensity,activity_type,calories_burned,distance,sedentary_minutes,sleep_duration,rem_sleep,deep_sleep,light_sleep,sleep_score,sleep_interruptions,stress_score,readiness_score,mindfulness_minutes,ambient_light,ambient_noise,screen_time_minutes,typing_speed_wpm,social_interactions,location_type,emotion
2025-06-17 11:10,63.9,93.7,35.7,0.093,97,15.2,5636,0.06,light walk,2734,10.75,254,8.78,0.91,2.32,3.09,82,2,24,71,8,114,91,140,48,77,home,Relaxed
2025-06-19 12:53,105.8,33.9,35.6,0.278,96,14.4,4851,0.1,typing,1849,6.21,257,5.84,0.96,1.62,2.36,79,2,79,35,23,283,100,280,53,83,office,Stressed
2025-06-20 23:58,84.8,74.9,36.4,0.173,95,14.8,4201,0.03,none,1700,8.63,401,5.87,1.13,1.7,2.77,77,4,58,49,29,533,74,72,38,22,home,Tired
2025-06-22 12:00,65.0,102.5,36.1,0.149,93,20.6,10997,0.07,running,1997,10.72,375,7.67,1.59,1.36,2.04,64,0,23,90,9,246,41,126,58,163,beach,Happy
2025-06-23 04:38,69.2,62.1,35.6,0.074,100,21.4,2141,0.11,sitting,2957,12.15,556,6.37,1.65,1.51,2.81,67,4,59,59,1,301,89,267,44,22,home,Sad
2025-06-16 17:08,89.6,20.3,35.9,0.386,94,21.8,4693,0.05,typing,1925,12.95,224,5.92,0.54,2.04,2.64,90,1,100,34,23,739,80,287,41,81,office,Stressed
2025-06-16 06:19,70.9,116.2,36.0,0.097,95,14.8,9441,0.1,cycling,1886,2.26,202,8.03,1.65,2.08,3.03,85,0,19,90,23,434,36,109,30,125,beach,Happy
2025-06-18 10:26,99.8,22.6,36.0,0.261,94,17.4,6000,0.04,walking,2606,11.76,290,5.53,0.76,2.06,2.7,91,1,79,40,21,738,71,172,39,79,office,Stressed
2025-06-19 00:37,74.8,72.7,36.0,0.167,100,19.4,2201,0.05,none,2834,14.71,520,5.17,1.43,1.44,3.48,99,0,60,57,16,112,78,74,27,20,home,Tired
2025-06-23 03:01,79.3,57.7,36.2,0.137,99,13.6,2251,0.08,standing,2357,7.7,577,5.23,1.42,1.13,2.66,57,4,54,55,24,422,75,129,22,20,home,Tired
2025-06-20 03:59,66.1,41.6,35.7,0.095,95,13.6,3239,0.07,sitting,1866,10.86,180,5.16,0.73,2.27,3.36,58,0,50,35,28,508,100,172,50,6,home,Sad
2025-06-20 05:41,59.4,93.9,36.1,0.091,96,12.6,4567,0.06,yoga,2329,4.2,514,7.72,1.34,1.34,2.96,73,3,14,95,15,756,87,145,39,79,nature,Relaxed
2025-06-22 17:25,105.4,45.5,35.9,0.201,98,17.9,4002,0.11,typing,1720,6.79,573,5.32,0.65,1.92,2.44,99,4,92,30,27,662,36,77,42,75,office,Stressed
2025-06-18 00:33,73.7,55.1,35.9,0.159,97,12.2,3187,0.1,standing,1971,14.24,491,4.59,0.63,1.06,3.33,83,1,57,57,8,737,52,169,22,11,home,Tired
2025-06-16 12:30,71.5,100.7,35.6,0.105,98,12.8,10043,0.04,dancing,2172,5.29,590,7.76,1.34,2.35,2.94,77,1,16,87,4,178,70,219,29,106,park,Happy
2025-06-18 05:31,67.5,49.2,35.9,0.096,93,17.0,2278,0.04,none,2513,7.04,507,5.42,1.45,1.43,3.33,92,1,56,30,9,519,60,135,27,27,home,Sad
2025-06-21 21:40,92.9,31.8,35.5,0.211,96,17.9,4911,0.04,typing,2443,6.62,188,4.87,0.68,1.37,2.72,56,4,99,41,23,658,60,249,30,94,office,Stressed
2025-06-19 16:07,61.1,95.1,36.0,0.108,94,15.2,4969,0.1,yoga,1762,4.26,453,8.13,0.82,2.37,2.92,84,1,23,80,10,633,33,103,58,62,nature,Relaxed
2025-06-20 08:48,71.9,104.7,36.1,0.116,97,13.7,14836,0.08,dancing,2598,4.74,495,8.28,1.35,1.14,2.28,92,1,24,80,15,478,49,204,48,150,beach,Happy
2025-06-22 17:22,74.4,73.9,36.2,0.127,95,20.6,4426,0.08,none,1560,13.69,523,4.12,0.51,2.49,2.87,69,1,60,55,20,263,50,170,37,30,home,Tired
2025-06-21 18:27,71.5,59.4,36.0,0.128,95,18.3,4279,0.09,standing,2063,14.82,288,4.95,1.75,2.5,2.07,87,2,61,37,21,609,80,207,25,29,office,Tired
2025-06-21 06:00,98.1,43.8,35.5,0.379,97,20.1,5993,0.04,walking,1923,3.26,218,4.82,1.58,1.55,2.31,99,1,76,36,10,454,83,289,42,92,office,Stressed
